# PAC5-Rep1-C1-f287 PAC5-Rep1-C2-f51 PAC5-Rep1-C3-f947 PAC5-Rep2-C1-f39 PAC5-Rep2-C2-f446 PAC5-Rep2-C3-f830 PAC5-Rep3-C1-f624 PAC5-Rep3-C2-f3203 PAC5-Rep3-C3-f4063 PAC5-Rep3-C4-f2061 RNA-Rep1-C1-f282 RNA-Rep1-C2-f905 RNA-Rep1-C3-f335 RNA-Rep2-C1-f40 RNA-Rep2-C2-f280 RNA-Rep2-C3-f505 RNA-Rep2-C4-f728 RNA-Rep3-C1-f58 RNA-Rep3-C2-f884 RNA-Rep3-C3-f4025 RNA-Rep3-C4-f2953 ssDNA-Rep1-C1-f60 ssDNA-Rep1-C2-f200 ssDNA-Rep1-C3-f368 ssDNA-Rep1-C4-f395 ssDNA-Rep2-C1-f56 ssDNA-Rep2-C2-f168 ssDNA-Rep2-C3-f304 ssDNA-Rep2-C4-f514 ssDNA-Rep2-C5-f792 ssDNA-Rep3-C1-f182 ssDNA-Rep3-C2-f867 ssDNA-Rep3-C3-f4710
2.69501662 2.96407175 4.58111477 2.23333073 2.50595331 2.89695859 2.59802580 3.37422729 3.54072833 3.47205400 1.70732450 2.35489655 2.65234470 0.00000000 2.92832112 4.48365259 3.59014273 2.35094047 3.21739483 3.51705527 2.90619516 1.68034971 2.12458801 3.08215189 2.85262203 1.48300767 2.23079467 2.82562351 3.19482684 3.82205915 1.31500506 2.78665495 3.05611038
3.23383307 4.09462833 3.45758772 2.86013079 3.27321768 2.76487494 2.34382272 3.10411119 2.99045897 3.04525757 2.79436541 2.61563182 3.05137610 2.92832112 0.00000000 2.68283033 2.51887345 2.02229977 1.97806180 2.61217499 2.52459311 2.69658518 2.01236105 1.74575663 2.50323033 2.35493994 2.19815159 1.86763859 1.74315691 1.96763992 2.67473483 2.57803917 2.85892630
3.93077159 5.27163744 2.74651265 3.68048716 4.72228718 3.85406828 3.60776520 3.49038982 3.42928672 3.72888136 4.07380676 3.56783009 4.19330215 4.48365259 2.68283033 0.00000000 3.02408886 3.00128269 2.78432894 3.15456104 3.26457047 3.91629314 3.29723501 2.75847936 3.23052025 3.90704417 3.22892618 2.96335840 2.39654803 2.57231903 4.00101566 3.68706822 3.91579652
4.19541645 4.94998741 4.25600719 3.95213962 3.65373588 3.48191977 3.62138700 2.99660945 3.39171457 3.47573495 3.33374476 2.87934351 3.86138701 3.59014273 2.51887345 3.02408886 0.00000000 3.04790998 2.41190767 3.64305353 2.33908987 3.47896099 3.22182178 2.85359001 3.63132572 3.28617215 3.24547386 3.35631347 2.88025522 3.07987237 3.37655067 3.18786049 2.67990565
2.31700277 3.61606312 2.96287513 1.89870954 3.24977851 2.83533335 2.25413537 2.67972755 2.56371498 2.76403642 2.23236847 2.19451880 2.93069553 2.35094047 2.02229977 3.00128269 3.04790998 0.00000000 2.27723646 2.68666601 2.60820365 1.82962370 1.63090062 1.85745978 2.13222957 1.78477478 1.48736966 1.56546497 1.91763330 2.53783488 1.94185829 2.60567927 2.70245838
3.29573512 4.58140516 3.76513624 3.12973213 3.15754271 2.40839911 2.68294477 2.48506141 3.15041804 3.28615141 2.91430283 2.53550982 3.46836925 3.21739483 1.97806180 2.78432894 2.41190767 2.27723646 0.00000000 2.25283384 2.33215523 2.80739117 2.18922949 2.17074132 2.56673217 2.83185530 2.39263225 2.38832450 2.06900477 1.95000637 2.92885661 2.16970468 2.23444486
3.26530170 4.67683840 4.17361832 2.80649233 3.20910716 2.01669431 2.45673037 3.11792135 3.55013418 3.90777731 3.28680491 3.12287140 3.43510866 3.51705527 2.61217499 3.15456104 3.64305353 2.68666601 2.25283384 0.00000000 3.32832956 3.04855871 2.39350128 2.52825069 2.48548675 3.17095876 2.52259350 2.58733368 2.43481421 2.37110138 3.35727835 2.35595345 3.32735634
3.16924834 3.87057757 3.96721792 3.31375027 3.39565325 3.22878885 3.39379525 2.95709229 3.15354466 3.18410420 2.64903879 2.45432806 3.79730225 2.90619516 2.52459311 3.26457047 2.33908987 2.60820365 2.33215523 3.32832956 0.00000000 2.81468153 2.72935128 2.96030760 2.95823359 2.78484321 2.88365102 3.20267248 3.04377913 3.25593185 2.60192108 2.99262428 2.67011619
1.87188756 2.83780956 4.08376312 1.74127805 2.87879896 2.66747141 2.29992795 2.75737906 3.05952287 3.14823127 1.70640576 2.37584233 3.09115529 1.68034971 2.69658518 3.91629314 3.47896099 1.82962370 2.80739117 3.04855871 2.81468153 0.00000000 1.69809282 2.78239346 2.11040115 1.50060725 1.76055765 2.42568040 2.80020380 3.37219524 1.36919677 2.38051653 2.84878254
2.31547189 3.51800537 3.62194252 2.00279903 2.98533463 2.19186020 2.10141492 2.70027494 2.96932435 2.97780991 2.13229370 2.14355350 2.75877619 2.12458801 2.01236105 3.29723501 3.22182178 1.63090062 2.18922949 2.39350128 2.72935128 1.69809282 0.00000000 1.79418790 1.62943649 1.53994727 1.27021337 1.52943802 1.90898991 2.39669037 1.74610806 2.03230715 2.47070885
3.29796934 4.42153835 3.23739481 2.75492954 3.39386559 2.61696124 2.37163353 2.96614170 3.04438376 3.23738432 3.00302052 2.65866232 3.07602835 3.08215189 1.74575663 2.75847936 2.85359001 1.85745978 2.17074132 2.52825069 2.96030760 2.78239346 1.79418790 0.00000000 2.24804616 2.44642425 1.80332482 1.43452907 1.26518369 1.80391085 2.72651386 2.36237073 2.71250868
2.14229655 3.34569001 3.76114011 2.26341915 3.49235296 2.67702842 2.58887506 3.04178452 3.09783268 3.40616083 2.55473471 2.62528682 3.40759182 2.85262203 2.50323033 3.23052025 3.63132572 2.13222957 2.56673217 2.48548675 2.95823359 2.11040115 1.62943649 2.24804616 0.00000000 2.38538146 1.74683046 2.12534213 2.34302258 2.65585208 2.35991573 2.35217309 3.04946446
2.51659846 3.10204554 3.90799546 2.02457476 2.76975441 2.84181976 2.30636787 3.02746964 2.85674310 2.79305911 1.79373157 2.04758477 2.40335345 1.48300767 2.35493994 3.90704417 3.28617215 1.78477478 2.83185530 3.17095876 2.78484321 1.50060725 1.53994727 2.44642425 2.38538146 0.00000000 1.66960108 2.14121389 2.62264872 3.25447559 1.24313426 2.61560559 2.73804474
2.53502560 3.55222726 3.48023462 1.98894358 2.97632074 2.39100695 2.10763669 2.78056669 2.71345115 3.11983466 2.27666759 2.15790153 2.60257602 2.23079467 2.19815159 3.22892618 3.24547386 1.48736966 2.39263225 2.52259350 2.88365102 1.76055765 1.27021337 1.80332482 1.74683046 1.66960108 0.00000000 1.58068168 1.93851900 2.57239842 1.83700740 2.15058899 2.55036688
2.92449951 4.12516785 2.98146033 2.28499436 3.63867044 2.75672388 2.07374573 3.12518549 3.03660107 3.04948688 2.76658893 2.52026749 2.78347158 2.82562351 1.86763859 2.96335840 3.35631347 1.56546497 2.38832450 2.58733368 3.20267248 2.42568040 1.52943802 1.43452907 2.12534213 2.14121389 1.58068168 0.00000000 1.35195470 1.94435012 2.41988206 2.61364961 2.97010517
3.23502421 4.49964762 3.00992751 2.68387270 3.63650513 2.70372009 2.34356093 2.94996929 3.04255772 3.32477307 3.06385493 2.78889298 3.20567369 3.19482684 1.74315691 2.39654803 2.88025522 1.91763330 2.06900477 2.43481421 3.04377913 2.80020380 1.90898991 1.26518369 2.34302258 2.62264872 1.93851900 1.35195470 0.00000000 1.52329469 2.82492375 2.38819599 2.97747755
3.68604159 5.11443901 3.41727448 3.27102923 4.03310966 2.94180894 2.76960659 3.30503345 3.61834431 3.62480307 3.66049552 3.29218435 3.81947970 3.82205915 1.96763992 2.57231903 3.07987237 2.53783488 1.95000637 2.37110138 3.25593185 3.37219524 2.39669037 1.80391085 2.65585208 3.25447559 2.57239842 1.94435012 1.52329469 0.00000000 3.45891857 2.62583232 3.31744218
2.28081226 2.82214618 4.00764847 2.10422015 2.89566326 2.93567085 2.52133608 2.99346733 2.99518704 3.05702543 1.62367165 2.13467503 2.79498720 1.31500506 2.67473483 4.00101566 3.37655067 1.94185829 2.92885661 3.35727835 2.60192108 1.36919677 1.74610806 2.72651386 2.35991573 1.24313426 1.83700740 2.41988206 2.82492375 3.45891857 0.00000000 2.66203308 2.82826519
2.96712995 4.16389370 4.52542925 2.77596450 2.71263409 1.71924591 2.43262863 2.59042859 3.50971818 3.65555525 2.68565059 2.94491339 3.52402878 2.78665495 2.57803917 3.68706822 3.18786049 2.60567927 2.16970468 2.35595345 2.99262428 2.38051653 2.03230715 2.36237073 2.35217309 2.61560559 2.15058899 2.61364961 2.38819599 2.62583232 2.66203308 0.00000000 2.53723025
3.65354013 4.45483589 4.44472122 3.64878654 3.26220894 2.75032139 3.23843741 2.48661137 3.27555037 3.31904531 2.90095758 2.38323641 3.50819254 3.05611038 2.85892630 3.91579652 2.67990565 2.70245838 2.23444486 3.32735634 2.67011619 2.84878254 2.47070885 2.71250868 3.04946446 2.73804474 2.55036688 2.97010517 2.97747755 3.31744218 2.82826519 2.53723025 0.00000000
